epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7888.28,1.55333,0.87495,1.10275,0.57892,0.49614,0.50499,0.26436,1.60269,0.98163,1.16053,0.000305211,0.000305211,0.000305211
66,7978.21,1.5299,0.85676,1.09296,0.60096,0.48076,0.49951,0.26216,1.60776,0.98394,1.16344,0.000296964,0.000296964,0.000296964
67,8068.61,1.53424,0.85902,1.09352,0.57488,0.5003,0.50577,0.26345,1.604,0.97767,1.1614,0.000288718,0.000288718,0.000288718
68,8163.7,1.52321,0.84874,1.08624,0.57159,0.50065,0.49748,0.25977,1.60015,0.98299,1.15887,0.000280471,0.000280471,0.000280471
69,8252.99,1.52657,0.85493,1.09157,0.59351,0.4918,0.50588,0.26512,1.59652,0.96932,1.16124,0.000272224,0.000272224,0.000272224
70,8346.74,1.51812,0.84765,1.08905,0.57489,0.49814,0.50791,0.26557,1.59752,0.97242,1.158,0.000263978,0.000263978,0.000263978
71,8436.82,1.50982,0.84238,1.08544,0.59195,0.49533,0.51107,0.26883,1.59708,0.96888,1.15787,0.000255731,0.000255731,0.000255731
72,8537.08,1.51916,0.84205,1.08392,0.58149,0.50275,0.50811,0.26559,1.59696,0.97132,1.15951,0.000247484,0.000247484,0.000247484
73,8625.89,1.51472,0.83957,1.08279,0.58302,0.50007,0.50915,0.26766,1.59407,0.97182,1.15683,0.000239238,0.000239238,0.000239238
74,9138.09,1.51641,0.83996,1.08302,0.5876,0.49805,0.51524,0.27352,1.59459,0.96533,1.15992,0.000230991,0.000230991,0.000230991
75,9512.63,1.49944,0.83096,1.08079,0.58314,0.50563,0.51399,0.26909,1.5994,0.96754,1.15836,0.000222744,0.000222744,0.000222744
76,9601.33,1.50216,0.83223,1.08188,0.61261,0.48613,0.51482,0.27189,1.59379,0.96272,1.15786,0.000214497,0.000214497,0.000214497
77,10287.5,1.5065,0.82541,1.0827,0.59612,0.49994,0.51746,0.27379,1.58923,0.96063,1.15507,0.000206251,0.000206251,0.000206251
78,10377.3,1.49126,0.82465,1.07892,0.58392,0.5033,0.51454,0.27225,1.59341,0.9603,1.15883,0.000198004,0.000198004,0.000198004
79,10673.8,1.497,0.8207,1.07582,0.58868,0.50632,0.5185,0.27289,1.59497,0.96252,1.1603,0.000189757,0.000189757,0.000189757
80,10763.5,1.49908,0.81298,1.07285,0.57685,0.51393,0.5193,0.27404,1.59772,0.96204,1.16384,0.000181511,0.000181511,0.000181511
81,11381.5,1.47899,0.81133,1.07257,0.57602,0.51205,0.51886,0.27391,1.58921,0.95913,1.15619,0.000173264,0.000173264,0.000173264
82,11472.3,1.48504,0.81077,1.06939,0.58728,0.51634,0.52317,0.27646,1.59186,0.95913,1.15822,0.000165017,0.000165017,0.000165017
83,11562.9,1.48361,0.80539,1.0736,0.57882,0.5248,0.52471,0.27731,1.59068,0.95469,1.15548,0.000156771,0.000156771,0.000156771
84,11653.4,1.48013,0.80467,1.06942,0.59012,0.5134,0.52323,0.27792,1.59037,0.95404,1.15766,0.000148524,0.000148524,0.000148524
