epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,8969.01,1.43506,0.81064,1.0922,0.57536,0.48642,0.49171,0.26502,1.5156,0.97008,1.16345,0.000263978,0.000263978,0.000263978
71,9108.45,1.44012,0.80653,1.08695,0.56921,0.48413,0.48433,0.25822,1.51845,0.9773,1.16208,0.000255731,0.000255731,0.000255731
72,9202.32,1.4236,0.80164,1.08705,0.57192,0.49312,0.49381,0.2682,1.51389,0.96507,1.16418,0.000247484,0.000247484,0.000247484
73,9292.83,1.42825,0.80215,1.08722,0.59752,0.47708,0.48701,0.26133,1.51513,0.96752,1.1611,0.000239238,0.000239238,0.000239238
74,9378.93,1.41326,0.79581,1.08548,0.54234,0.49306,0.4803,0.26309,1.50822,0.96424,1.15653,0.000230991,0.000230991,0.000230991
75,9458.52,1.42055,0.79473,1.08101,0.58499,0.4784,0.48739,0.26614,1.50721,0.95713,1.1602,0.000222744,0.000222744,0.000222744
76,9591.16,1.41239,0.78388,1.07915,0.57906,0.4896,0.49255,0.27016,1.50646,0.96348,1.16043,0.000214497,0.000214497,0.000214497
77,9670.63,1.419,0.78879,1.08034,0.61302,0.46001,0.49145,0.26767,1.51442,0.96936,1.16211,0.000206251,0.000206251,0.000206251
78,9763.32,1.41874,0.78618,1.08214,0.58371,0.47114,0.48772,0.26637,1.51196,0.95834,1.16001,0.000198004,0.000198004,0.000198004
79,9853,1.40357,0.77679,1.0724,0.55822,0.47771,0.48961,0.26997,1.50619,0.95831,1.15611,0.000189757,0.000189757,0.000189757
80,9927.14,1.38342,0.76994,1.06906,0.59906,0.48156,0.49276,0.27102,1.50492,0.9578,1.15848,0.000181511,0.000181511,0.000181511
81,10007.1,1.39551,0.77284,1.07094,0.59323,0.47066,0.48936,0.26941,1.50463,0.96064,1.15853,0.000173264,0.000173264,0.000173264
82,10137.8,1.40563,0.77208,1.06842,0.58714,0.48864,0.49228,0.26738,1.50646,0.95781,1.1601,0.000165017,0.000165017,0.000165017
83,10214.7,1.39509,0.76822,1.07563,0.61289,0.47397,0.49681,0.27001,1.50655,0.96483,1.16137,0.000156771,0.000156771,0.000156771
84,10340.2,1.39173,0.76404,1.06811,0.61466,0.48117,0.50125,0.27434,1.50536,0.95418,1.16164,0.000148524,0.000148524,0.000148524
85,10418.5,1.37789,0.75825,1.06266,0.58891,0.49016,0.49682,0.271,1.50498,0.95337,1.1594,0.000140277,0.000140277,0.000140277
86,10491.4,1.36668,0.74732,1.06039,0.59996,0.48126,0.4983,0.27192,1.50739,0.95561,1.16506,0.000132031,0.000132031,0.000132031
87,10572.5,1.37063,0.75227,1.06081,0.61115,0.4734,0.49926,0.27516,1.50037,0.95014,1.15869,0.000123784,0.000123784,0.000123784
88,10749.1,1.37315,0.75018,1.05892,0.61678,0.47157,0.5022,0.27103,1.50417,0.95036,1.15996,0.000115537,0.000115537,0.000115537
